Date,Open,High,Low,Close,Adj Close,Volume
11-04-2023,146.5,146.5,144.5,146.5,140.862091,1613559
12-04-2023,147,147,145,146.5,140.862091,2084465
13-04-2023,146,146,145,146,140.381332,1538703
14-04-2023,146,147.5,145,147,141.34285,2153356
17-04-2023,146,147.5,145.5,147.5,141.823608,1025525
18-04-2023,147.5,148,146,147.5,141.823608,1817643
19-04-2023,147.5,147.5,145,146.5,140.862091,1644673
20-04-2023,145.5,146.5,144,145,139.41983,1219921
21-04-2023,145,146,143.5,144,138.458313,1504213
24-04-2023,144.5,146,142.5,143,137.496796,1123685
25-04-2023,144,144.5,139,141,135.573761,2696842
26-04-2023,141.5,143.5,140.5,143,137.496796,1919521
27-04-2023,144,145.5,142.5,145,139.41983,1567714
28-04-2023,146,146.5,144.5,145.5,139.900574,1465289
02-05-2023,145,147,141,143,137.496796,3265090
03-05-2023,143.5,146,141.5,144,138.458313,2998598
04-05-2023,144,146.5,142.5,145.5,139.900574,3633944
05-05-2023,145.5,145.5,142,142.5,137.016037,3170140
08-05-2023,143.5,144,142.5,144,138.458313,1693557
09-05-2023,144,146,143.5,146,140.381332,2304652
10-05-2023,145,145.5,143,145,139.41983,1766932
11-05-2023,145,146.5,144,146.5,140.862091,2171724
12-05-2023,145,148,142.5,147.5,141.823608,4648558
15-05-2023,148.5,155,148,152,146.150436,8073662
16-05-2023,152.5,156,152,154.5,148.55423,7633762
17-05-2023,154.5,156.5,153,155.5,149.515747,6377009
18-05-2023,156.5,159,156,159,152.881042,5615107
19-05-2023,160,161,156,157,150.958023,5906911
22-05-2023,158,159.5,156,158,151.919525,4599937
23-05-2023,157.5,159,156.5,158.5,152.400284,3930873
24-05-2023,159,161,158,161,154.804077,5262019
25-05-2023,166.5,168.5,161.5,162.5,156.246353,11837621
26-05-2023,166,174.5,165.5,169.5,162.976959,15228771
29-05-2023,170.5,171.5,166,168,161.534698,6417571
30-05-2023,167,167,163,164.5,158.169388,5406706
31-05-2023,166.5,167.5,164,166,159.611664,6691444
01-06-2023,166.5,167.5,165,166,159.611664,5592050
02-06-2023,167,173,166,171.5,164.899994,10194359
05-06-2023,171.5,173,168.5,173,166.34227,4719010
06-06-2023,173,174.5,170.5,173.5,166.823029,4318206
07-06-2023,175,181,175,178.5,171.630615,9325053
08-06-2023,180,183,177.5,180,173.072891,7164285
09-06-2023,182,187.5,180,185,177.880463,10290298
12-06-2023,186,186.5,176.5,178,171.149857,8684899
13-06-2023,180,183,180,182.5,175.476669,5370008
14-06-2023,181.5,181.5,177.5,179,172.111374,4000070
15-06-2023,179.5,181.5,176.5,178,171.149857,6261859
16-06-2023,177,180,174,178,171.149857,7679258
19-06-2023,176.5,177,172.5,174,167.303787,6558312
20-06-2023,174.5,175.5,172,174,167.303787,4321478
21-06-2023,175,177,174.5,176,169.226822,3495301
26-06-2023,174.5,177,172.5,175.5,168.746063,2808514
27-06-2023,175,176.5,172.5,174,167.303787,3248723
28-06-2023,175,176,171.5,172.5,165.861511,3256364
29-06-2023,175,176,172.5,174,167.303787,3365766
30-06-2023,173,177.5,172.5,176.5,169.707581,3927225
03-07-2023,179,181,178,180,173.072891,4300160
04-07-2023,179,181,177,179,172.111374,3203559
05-07-2023,180,180.5,175.5,176.5,169.707581,1972804
06-07-2023,178,179,174.5,176,169.226822,3249130
07-07-2023,174.5,176,171,173,166.34227,3687805
10-07-2023,171,177,170,175.5,168.746063,3074839
11-07-2023,176.5,180,176,179.5,172.592133,2225871
12-07-2023,180.5,183.5,179.5,182,174.995911,3577589
13-07-2023,185,194,185,188,180.765015,11316703
14-07-2023,188.5,190,179,185,177.880463,5397500
17-07-2023,184,194.5,184,188,180.765015,5570230
18-07-2023,194,198.5,189,193,185.572586,10392384
19-07-2023,196,196,185.5,187,179.803497,6838101
20-07-2023,186.5,188,184,186,178.84198,3804651
21-07-2023,185,193,184,191.5,184.130325,7605649
24-07-2023,193,194,188.5,192,184.611084,6480338
25-07-2023,197,211,196.5,211,202.879883,9575136
26-07-2023,216,216.5,200,203.5,195.668518,14789324
27-07-2023,206,206.5,195,196,188.457138,6435420
28-07-2023,197,202,191,201,193.264725,6523422
31-07-2023,204,204.5,192.5,194.5,187.014862,5164108
01-08-2023,195,199,189,190.5,183.168808,5360362
02-08-2023,193,195,183.5,186,178.84198,6080650
04-08-2023,187,187.5,181.5,184.5,177.399704,5263726
07-08-2023,185,190,184.5,189,181.726532,3843478
08-08-2023,190,195,189,192,184.611084,6671967
09-08-2023,192,200,192,194.5,187.014862,6978690
10-08-2023,191.5,192.5,183,187.5,180.284256,4500978
11-08-2023,185,185,178.5,179,172.111374,5730783
14-08-2023,176.5,179.5,175,178,171.149857,4858607
15-08-2023,179,180,175.5,176.5,169.707581,5308047
16-08-2023,174.5,178.5,174,178.5,171.630615,5355365
17-08-2023,176,179,169.5,178.5,171.630615,6729262
18-08-2023,177.5,178,172,173,166.34227,5234788
21-08-2023,172,173,168,170.5,163.938477,5541326
22-08-2023,173,175,169,170,163.457718,4581799
23-08-2023,171.5,172,168.5,171.5,164.899994,3289013
24-08-2023,175,175,171.5,173,166.34227,3149706
25-08-2023,173,174,170.5,171.5,164.899994,4941611
28-08-2023,167,167,160.5,161.5,161.5,4325212
29-08-2023,162,162.5,158,160,160,4181055
30-08-2023,163,165.5,160,161,161,4239059
31-08-2023,161,161.5,158.5,159.5,159.5,6381194
01-09-2023,160.5,161.5,158.5,159.5,159.5,4071008
04-09-2023,160,162,158.5,161.5,161.5,2857205
05-09-2023,160.5,167.5,160.5,165,165,4382957
06-09-2023,165,167,164,165,165,2803318
07-09-2023,164,166.5,163,164.5,164.5,2904185
08-09-2023,164,166,162.5,163.5,163.5,2618052
11-09-2023,166,168.5,162,162,162,5398245
12-09-2023,164,166,162.5,164.5,164.5,3280930
13-09-2023,164.5,165,162,164.5,164.5,3060262
14-09-2023,164.5,168.5,164.5,168,168,3923974
15-09-2023,168,172,166,171.5,171.5,6125887
18-09-2023,170,171,168.5,168.5,168.5,4239118
19-09-2023,169,170,166,166,166,6128044
20-09-2023,167.5,177.5,166.5,175.5,175.5,11635515
21-09-2023,177,178,171,172.5,172.5,10912626
22-09-2023,171.5,172,168,171,171,4433654
25-09-2023,172.5,172.5,169.5,170.5,170.5,2368310
26-09-2023,170.5,173,167.5,168.5,168.5,4680339
27-09-2023,167,168,165.5,167,167,4228058
28-09-2023,167,167.5,163,164,164,5749449
02-10-2023,165,169,164,167.5,167.5,3960177
03-10-2023,167,169,165,167,167,2839485
04-10-2023,165,166,163.5,164.5,164.5,3479987
05-10-2023,165,167.5,164.5,166.5,166.5,1607247
06-10-2023,167.5,169,165.5,168,168,2238721
11-10-2023,173,174,168.5,168.5,168.5,4366339
12-10-2023,170,172.5,169,172.5,172.5,3432126
13-10-2023,169,170.5,164,166.5,166.5,6713387
16-10-2023,165.5,166,164,164,164,2119000
17-10-2023,165.5,166,162,162,162,2242839
18-10-2023,162,163,159,160.5,160.5,7065412
19-10-2023,159,160,156.5,159,159,3412765
