Date,Open,High,Low,Close,Adj Close,Volume
17-03-2023,264.5,271,263,271,257.992004,4356986
20-03-2023,270,270,265,266,253.23201,1781967
21-03-2023,267.5,268.5,267,268.5,255.612,1333391
22-03-2023,268.5,269,267,269,256.088013,2237987
23-03-2023,269,271,267.5,269.5,256.563995,1723042
24-03-2023,270,271,268,270,257.040009,1292558
27-03-2023,270.5,271,269.5,269.5,256.563995,1031301
28-03-2023,269,271,267.5,268.5,255.612,1075834
29-03-2023,270,271.5,270,271.5,258.468018,1071759
30-03-2023,271.5,273,270.5,272.5,259.420013,1197882
31-03-2023,273.5,275,271,272.5,259.420013,1681760
06-04-2023,269.5,270.5,268.5,270.5,257.515991,1635045
07-04-2023,271.5,272,270,270,257.040009,580249
10-04-2023,271.5,272,270,271,257.992004,554168
11-04-2023,271,274.5,270.5,273.5,260.372009,1344270
12-04-2023,276,280,275.5,278.5,265.132019,1984283
13-04-2023,279.5,280,275.5,275.5,262.276001,1700179
14-04-2023,278.5,278.5,275.5,277.5,264.179993,1057529
17-04-2023,278.5,281,278,281,267.511993,1593935
18-04-2023,281.5,282,277,278.5,265.132019,1164264
19-04-2023,279,281,278,278.5,265.132019,1535742
20-04-2023,279.5,279.5,275.5,276.5,263.227997,1069423
21-04-2023,279,280.5,275,276,262.752014,1964635
24-04-2023,278,279,276,278.5,265.132019,2055511
25-04-2023,280,280,276,278,264.656006,2373820
26-04-2023,275.5,277,272,275.5,262.276001,2510619
27-04-2023,275.5,280,274.5,280,266.559998,2542742
28-04-2023,282,282.5,279,282.5,268.940002,1819282
02-05-2023,283,287,282,286,272.272003,1551112
03-05-2023,287,288,285.5,287.5,273.700012,1650072
04-05-2023,287,292,286.5,292,277.984009,2559015
05-05-2023,291.5,291.5,286,289,275.128021,1764678
08-05-2023,289,290.5,288,288.5,274.652008,1065796
09-05-2023,289.5,293,289,292,277.984009,1815198
10-05-2023,290.5,292,287.5,291.5,277.507996,1439542
11-05-2023,291.5,291.5,286.5,286.5,272.748016,1175908
12-05-2023,286,287,280.5,281.5,267.988007,2005860
15-05-2023,304.5,309,297.5,303.5,288.932007,8964265
16-05-2023,303,305.5,299,303.5,288.932007,3435551
